dataset,model,train_r2,test_r2
215_2dplanes,QG-r1-aic-7,0.8135277516797853,0.7955602323803297
218_house_8L,QG-r1-aic-7,0.636120888469909,-0.0046678036942005
225_puma8NH,QG-r1-aic-7,0.6996999581748262,0.5897176370462571
344_mv,QG-r1-aic-7,0.9984864227624572,0.998164446967742
529_pollen,QG-r1-aic-7,0.7567078127166875,0.7891221876208123
537_houses,QG-r1-aic-7,0.6911342729555118,0.5569004312178305
564_fried,QG-r1-aic-7,0.8325946501787275,0.8027498345325241
banana,QG-r1-aic-7,0.5409910704856283,0.4939760136779977
titanic,QG-r1-aic-7,0.3328656245023338,0.2722138503600269
1193_BNG_lowbwt,QG-r1-bic-9,0.5437964043738504,0.5380176743635301
1196_BNG_pharynx,QG-r1-bic-9,0.5669046604045744,0.4171276989059813
1199_BNG_echoMonths,QG-r1-bic-9,0.3790325601794492,0.3963423278346297
1201_BNG_breastTumor,QG-r1-bic-9,0.1398888534091317,0.0079656816987324
1203_BNG_pwLinear,QG-r1-bic-9,0.6401186179639237,0.5704032644939718
1595_poker,QG-r1-bic-9,0.159316913965161,-0.1749629021776537
215_2dplanes,QG-r1-bic-9,0.8542115223857691,0.8571822487047145
218_house_8L,QG-r1-bic-9,0.6857796173713262,-0.304936165611986
225_puma8NH,QG-r1-bic-9,0.7362879461006949,0.6407384141172114
344_mv,QG-r1-bic-9,0.9971936516842388,0.9964518219974202
529_pollen,QG-r1-bic-9,0.7567078127166875,0.7891221876208123
537_houses,QG-r1-bic-9,0.6976819081797063,0.5773850142341862
564_fried,QG-r1-bic-9,0.8514958048122986,0.8188999034233979
banana,QG-r1-bic-9,0.5290441927608119,0.5132236125468139
titanic,QG-r1-bic-9,0.3146661255681119,0.2517277814016312
1193_BNG_lowbwt,QG-r1-aic-9,0.6048805210146839,0.5484268141862009
1196_BNG_pharynx,QG-r1-aic-9,0.5820706698309619,0.426950778605993
1199_BNG_echoMonths,QG-r1-aic-9,0.4557928519705878,0.387224480676645
1201_BNG_breastTumor,QG-r1-aic-9,0.1690448927878005,-0.0386615264197063
1203_BNG_pwLinear,QG-r1-aic-9,0.6424537112989779,0.5700621349376949
1595_poker,QG-r1-aic-9,0.2181675919866975,-0.2909916388159623
215_2dplanes,QG-r1-aic-9,0.8545490058494781,0.8576915597170203
218_house_8L,QG-r1-aic-9,0.6598377462041212,-0.0021484761448757
225_puma8NH,QG-r1-aic-9,0.7411172508679573,0.6552184638299327
344_mv,QG-r1-aic-9,0.9984891843888818,0.9981662852466966
529_pollen,QG-r1-aic-9,0.7587298898823824,0.7873936058747808
537_houses,QG-r1-aic-9,0.7129034231500648,0.5944185100309722
564_fried,QG-r1-aic-9,0.869523460749146,0.8636251208690342
banana,QG-r1-aic-9,0.5798202018951579,0.5333776308172742
titanic,QG-r1-aic-9,0.3374257312129127,0.2704727177975378
1193_BNG_lowbwt,QG-r1-None-9,0.6022290873909038,0.5439003038579957
1196_BNG_pharynx,QG-r1-None-9,0.5700416250454414,0.4338056741344358
1199_BNG_echoMonths,QG-r1-None-9,0.4750265795260533,0.3980405082883935
1201_BNG_breastTumor,QG-r1-None-9,0.1784767461726437,0.0086312758756285
1203_BNG_pwLinear,QG-r1-None-9,0.6322426444464699,0.5643568049292097
1595_poker,QG-r1-None-9,0.2283757316339443,-0.3473960828589548
215_2dplanes,QG-r1-None-9,0.8522684518958604,0.8575299601512979
218_house_8L,QG-r1-None-9,0.637881055304317,-0.1244224686860153
225_puma8NH,QG-r1-None-9,0.7033015601167419,0.5980643553845737
344_mv,QG-r1-None-9,0.9984889607066972,0.998165593306536
529_pollen,QG-r1-None-9,0.763675894682178,0.7869363323030167
537_houses,QG-r1-None-9,0.7036145642352423,0.5850141190270206
564_fried,QG-r1-None-9,0.91136566453422,0.8833914998400298
banana,QG-r1-None-9,0.5266801193534685,0.5005034088701256
titanic,QG-r1-None-9,0.3366387874624729,0.269437857516022
1028_SWD,LinearRegression(),0.38384869946965117,0.36439092211512913
1028_SWD,"Lasso(alpha=0.01, max_iter=10000)",0.3811511911422073,0.376313989140586
1028_SWD,"Lasso(alpha=0.05, max_iter=10000)",0.35701921701140615,0.34782459114352926
1028_SWD,DecisionTreeRegressor(max_depth=1),0.24563545172929058,0.2073299813849404
1028_SWD,DecisionTreeRegressor(max_depth=2),0.32986471037716136,0.226069516370358
1028_SWD,DecisionTreeRegressor(max_depth=4),0.4808032519964628,0.24456530837682366
1028_SWD,DecisionTreeRegressor(max_depth=6),0.6123315232864072,0.2057373296817464
1028_SWD,RandomForestRegressor(),0.655411363627954,0.2911331618037786
1028_SWD,GradientBoostingRegressor(),0.6129638264213841,0.3259233483531693
1029_LEV,LinearRegression(),0.6298355218254531,0.5335576803885904
1029_LEV,"Lasso(alpha=0.01, max_iter=10000)",0.6295777535470647,0.5355930158541442
1029_LEV,"Lasso(alpha=0.05, max_iter=10000)",0.6233914430668701,0.5378093349340977
1029_LEV,DecisionTreeRegressor(max_depth=1),0.3042269642711145,0.23959163018359408
1029_LEV,DecisionTreeRegressor(max_depth=2),0.38888018987202155,0.3023936660542219
1029_LEV,DecisionTreeRegressor(max_depth=4),0.5815098396114661,0.3861166518504362
1029_LEV,DecisionTreeRegressor(max_depth=6),0.7042904243285324,0.4336118496665119
1029_LEV,RandomForestRegressor(),0.7572253815963195,0.4316713394604701
1029_LEV,GradientBoostingRegressor(),0.7371884581891714,0.4756843028511728
1030_ERA,LinearRegression(),0.3259186071740966,0.38760949276352197
1030_ERA,"Lasso(alpha=0.01, max_iter=10000)",0.3259103414012121,0.3874079799635324
1030_ERA,"Lasso(alpha=0.05, max_iter=10000)",0.3257119362393106,0.386435183130054
1030_ERA,DecisionTreeRegressor(max_depth=1),0.17126073267966158,0.1891956723013839
1030_ERA,DecisionTreeRegressor(max_depth=2),0.28116814742387053,0.308662284940722
1030_ERA,DecisionTreeRegressor(max_depth=4),0.3866732283744563,0.35015247812542083
1030_ERA,DecisionTreeRegressor(max_depth=6),0.42698530684585745,0.30935465336035606
1030_ERA,RandomForestRegressor(),0.4316023602236658,0.30247735664265596
1030_ERA,GradientBoostingRegressor(),0.43190170860220534,0.31532402653100566
593_fri_c1_1000_10,LinearRegression(),0.3088631478486513,0.28172916434927076
593_fri_c1_1000_10,"Lasso(alpha=0.01, max_iter=10000)",0.30723440796837165,0.2810400106555718
593_fri_c1_1000_10,"Lasso(alpha=0.05, max_iter=10000)",0.296114633498779,0.27289479796119176
593_fri_c1_1000_10,DecisionTreeRegressor(max_depth=1),0.2924431495627827,0.266349996694237
593_fri_c1_1000_10,DecisionTreeRegressor(max_depth=2),0.6012168910212472,0.43203800840334294
593_fri_c1_1000_10,DecisionTreeRegressor(max_depth=4),0.8211561005095896,0.6209154659802465
593_fri_c1_1000_10,DecisionTreeRegressor(max_depth=6),0.9442593739329455,0.6624491215679972
593_fri_c1_1000_10,RandomForestRegressor(),0.9767159503803206,0.8248321243373489
593_fri_c1_1000_10,GradientBoostingRegressor(),0.9929145370396987,0.8797445653975446
595_fri_c0_1000_10,LinearRegression(),0.6786377447383821,0.7174692041969759
595_fri_c0_1000_10,"Lasso(alpha=0.01, max_iter=10000)",0.677410972144137,0.7164919456278621
595_fri_c0_1000_10,"Lasso(alpha=0.05, max_iter=10000)",0.6585297887487007,0.6923291601907081
595_fri_c0_1000_10,DecisionTreeRegressor(max_depth=1),0.29071431448885277,0.21723441035259405
595_fri_c0_1000_10,DecisionTreeRegressor(max_depth=2),0.4701766776576949,0.3932277288136532
595_fri_c0_1000_10,DecisionTreeRegressor(max_depth=4),0.756585630861363,0.5795783915283116
595_fri_c0_1000_10,DecisionTreeRegressor(max_depth=6),0.900552879289542,0.5694645351627773
595_fri_c0_1000_10,RandomForestRegressor(),0.965240918286778,0.7776390073259652
595_fri_c0_1000_10,GradientBoostingRegressor(),0.9856714910140645,0.8519844955653206
599_fri_c2_1000_5,LinearRegression(),0.36367976786385525,0.2539768601102951
599_fri_c2_1000_5,"Lasso(alpha=0.01, max_iter=10000)",0.36148843292593136,0.2531045740657859
599_fri_c2_1000_5,"Lasso(alpha=0.05, max_iter=10000)",0.3468146727097431,0.25837751674130804
599_fri_c2_1000_5,DecisionTreeRegressor(max_depth=1),0.4621876742256005,0.34150938153261745
599_fri_c2_1000_5,DecisionTreeRegressor(max_depth=2),0.631437523608679,0.5301683072669727
599_fri_c2_1000_5,DecisionTreeRegressor(max_depth=4),0.8298243940981229,0.655789336419216
599_fri_c2_1000_5,DecisionTreeRegressor(max_depth=6),0.9210909377854717,0.7406430418930099
599_fri_c2_1000_5,RandomForestRegressor(),0.9864753022271595,0.8951708484385952
599_fri_c2_1000_5,GradientBoostingRegressor(),0.9918451333348529,0.9054579625651558
606_fri_c2_1000_10,LinearRegression(),0.2942600934923869,0.2945053770952617
606_fri_c2_1000_10,"Lasso(alpha=0.01, max_iter=10000)",0.29176399809507103,0.2934625633109874
606_fri_c2_1000_10,"Lasso(alpha=0.05, max_iter=10000)",0.26757659271274425,0.2643087251451013
606_fri_c2_1000_10,DecisionTreeRegressor(max_depth=1),0.4048237087789922,0.3936431952216516
606_fri_c2_1000_10,DecisionTreeRegressor(max_depth=2),0.5750061784551341,0.5367497074949417
606_fri_c2_1000_10,DecisionTreeRegressor(max_depth=4),0.8290383909469258,0.7123441366033676
606_fri_c2_1000_10,DecisionTreeRegressor(max_depth=6),0.9503033119706343,0.7086661822526465
606_fri_c2_1000_10,RandomForestRegressor(),0.9770735184587048,0.8408130691590006
606_fri_c2_1000_10,GradientBoostingRegressor(),0.9915857587959769,0.8659213706556366
608_fri_c3_1000_10,LinearRegression(),0.30762334691167603,0.23250455681983473
608_fri_c3_1000_10,"Lasso(alpha=0.01, max_iter=10000)",0.3016267113613166,0.2252917289636288
608_fri_c3_1000_10,"Lasso(alpha=0.05, max_iter=10000)",0.256623237040727,0.19880035379701433
608_fri_c3_1000_10,DecisionTreeRegressor(max_depth=1),0.21905707085871473,0.1514694820331679
608_fri_c3_1000_10,DecisionTreeRegressor(max_depth=2),0.4616581225108365,0.32794690161305073
608_fri_c3_1000_10,DecisionTreeRegressor(max_depth=4),0.8159522157531224,0.6322478265696589
608_fri_c3_1000_10,DecisionTreeRegressor(max_depth=6),0.9210212502811216,0.68764641893308
608_fri_c3_1000_10,RandomForestRegressor(),0.9716266003280293,0.7998133897266513
608_fri_c3_1000_10,GradientBoostingRegressor(),0.9888031828569206,0.8607886770291622
609_fri_c0_1000_5,LinearRegression(),0.704319392654561,0.728667568871582
609_fri_c0_1000_5,"Lasso(alpha=0.01, max_iter=10000)",0.7037840775401103,0.7292827628265641
609_fri_c0_1000_5,"Lasso(alpha=0.05, max_iter=10000)",0.6909367459538565,0.7199449558632347
609_fri_c0_1000_5,DecisionTreeRegressor(max_depth=1),0.2631499520440367,0.2335702215907931
609_fri_c0_1000_5,DecisionTreeRegressor(max_depth=2),0.47277724922446007,0.36428805759313654
609_fri_c0_1000_5,DecisionTreeRegressor(max_depth=4),0.7725598913015893,0.55682080037935
609_fri_c0_1000_5,DecisionTreeRegressor(max_depth=6),0.9140627314150845,0.5052188761014412
609_fri_c0_1000_5,RandomForestRegressor(),0.9747972569425237,0.8150850770450342
609_fri_c0_1000_5,GradientBoostingRegressor(),0.988443846766888,0.8811311246596185
612_fri_c1_1000_5,LinearRegression(),0.30331058986893844,0.2115967790183636
612_fri_c1_1000_5,"Lasso(alpha=0.01, max_iter=10000)",0.30128260914933713,0.2168209922948
612_fri_c1_1000_5,"Lasso(alpha=0.05, max_iter=10000)",0.29313568309728133,0.22085709609557902
612_fri_c1_1000_5,DecisionTreeRegressor(max_depth=1),0.34154118890419527,0.22147565187194307
612_fri_c1_1000_5,DecisionTreeRegressor(max_depth=2),0.5630332936842766,0.4706937611731915
612_fri_c1_1000_5,DecisionTreeRegressor(max_depth=4),0.8255068442067194,0.6535813284227308
612_fri_c1_1000_5,DecisionTreeRegressor(max_depth=6),0.9431792961014425,0.7015633595797794
612_fri_c1_1000_5,RandomForestRegressor(),0.9821898281290696,0.8584633296806871
612_fri_c1_1000_5,GradientBoostingRegressor(),0.992626208451585,0.9077582796517333
623_fri_c4_1000_10,LinearRegression(),0.26295616387311627,0.27643572371168257
623_fri_c4_1000_10,"Lasso(alpha=0.01, max_iter=10000)",0.2556445675613599,0.2909303168515276
623_fri_c4_1000_10,"Lasso(alpha=0.05, max_iter=10000)",0.2158202636375689,0.2778494382281481
623_fri_c4_1000_10,DecisionTreeRegressor(max_depth=1),0.1769107053420469,0.16695974427520444
623_fri_c4_1000_10,DecisionTreeRegressor(max_depth=2),0.5336571759089759,0.33923794872099067
623_fri_c4_1000_10,DecisionTreeRegressor(max_depth=4),0.8525461305243551,0.5435831839203695
623_fri_c4_1000_10,DecisionTreeRegressor(max_depth=6),0.9606599200196239,0.635072501097528
623_fri_c4_1000_10,RandomForestRegressor(),0.9728835505255105,0.8212709123231493
623_fri_c4_1000_10,GradientBoostingRegressor(),0.9877324592783515,0.8663878166709282
628_fri_c3_1000_5,LinearRegression(),0.29722281014018914,0.2287480190972372
628_fri_c3_1000_5,"Lasso(alpha=0.01, max_iter=10000)",0.29230318456976256,0.24358313297126077
628_fri_c3_1000_5,"Lasso(alpha=0.05, max_iter=10000)",0.23139805032480198,0.21757510280786097
628_fri_c3_1000_5,DecisionTreeRegressor(max_depth=1),0.19579142780141046,0.16101283153563584
628_fri_c3_1000_5,DecisionTreeRegressor(max_depth=2),0.46947320309461193,0.36215469103248743
628_fri_c3_1000_5,DecisionTreeRegressor(max_depth=4),0.790596410524868,0.6461744783942622
628_fri_c3_1000_5,DecisionTreeRegressor(max_depth=6),0.934658964366594,0.7412318229692951
628_fri_c3_1000_5,RandomForestRegressor(),0.9838039936121542,0.8756368816647144
628_fri_c3_1000_5,GradientBoostingRegressor(),0.9880778661615517,0.8877880312265914
1028_SWD,QG-r1-aic-9,0.44679063640976824,0.37415491079526886
1029_LEV,QG-r1-aic-9,0.6310349840359932,0.5259928754528487
1030_ERA,QG-r1-aic-9,0.3498002282431145,0.35479182946387233
593_fri_c1_1000_10,QG-r1-aic-9,0.8692088097638557,0.8478390561246814
595_fri_c0_1000_10,QG-r1-aic-9,0.8598829006963916,0.8859470668449017
599_fri_c2_1000_5,QG-r1-aic-9,0.9116682787078979,0.8881356212919111
606_fri_c2_1000_10,QG-r1-aic-9,0.8659272652462799,0.8560089179825237
608_fri_c3_1000_10,QG-r1-aic-9,0.8903730595596071,0.9031490242445789
