dataset,model,randomseed,train_r2,test_r2,json
1199_BNG_echoMonths,RandomForestRegressor(n_estimators=200),3,0.9014478806192566,0.3710415583055292,
1199_BNG_echoMonths,GradientBoostingRegressor(n_estimators=200),3,0.9560446149757108,0.2269378926108817,
1199_BNG_echoMonths,LinearRegression(),4,0.3978051390840069,0.4233815974684312,
1199_BNG_echoMonths,"Lasso(alpha=0.05, max_iter=100000)",4,0.3965203721413808,0.4258734093731466,
1199_BNG_echoMonths,RandomForestRegressor(n_estimators=200),4,0.9046840768919052,0.3518780833215779,
1199_BNG_echoMonths,GradientBoostingRegressor(n_estimators=200),4,0.954008977857307,0.271918456194022,
1201_BNG_breastTumor,LinearRegression(),0,0.0637154309026452,0.0136612784647547,
1201_BNG_breastTumor,"Lasso(alpha=0.05, max_iter=100000)",0,0.0631326363996792,0.0182270208512561,
1201_BNG_breastTumor,RandomForestRegressor(n_estimators=200),0,0.8583307900180362,-0.0333913200063471,
1201_BNG_breastTumor,GradientBoostingRegressor(n_estimators=200),0,0.8814745723395457,-0.1937193583993777,
1201_BNG_breastTumor,LinearRegression(),1,0.1123172007201721,-0.0684157140632326,
1201_BNG_breastTumor,"Lasso(alpha=0.05, max_iter=100000)",1,0.1117332955652684,-0.0604523590765488,
1201_BNG_breastTumor,RandomForestRegressor(n_estimators=200),1,0.8506322000193581,-0.1436025527613018,
1201_BNG_breastTumor,GradientBoostingRegressor(n_estimators=200),1,0.8404124383048017,-0.3052440895996908,
1201_BNG_breastTumor,LinearRegression(),2,0.0744333949543853,0.0046165692494005,
1201_BNG_breastTumor,"Lasso(alpha=0.05, max_iter=100000)",2,0.0739223942785475,0.0056678073637218,
1201_BNG_breastTumor,RandomForestRegressor(n_estimators=200),2,0.866131033875845,-0.0344002440788184,
1201_BNG_breastTumor,GradientBoostingRegressor(n_estimators=200),2,0.8582170264632101,-0.2106836813614174,
1201_BNG_breastTumor,LinearRegression(),3,0.1368140577562676,-0.0335616310933952,
1201_BNG_breastTumor,"Lasso(alpha=0.05, max_iter=100000)",3,0.1362542391765064,-0.0291470226121797,
1201_BNG_breastTumor,RandomForestRegressor(n_estimators=200),3,0.8589160727171463,-0.0793665332802673,
1201_BNG_breastTumor,GradientBoostingRegressor(n_estimators=200),3,0.8772617079579396,-0.2075222154165248,
1201_BNG_breastTumor,LinearRegression(),4,0.0460594880344864,0.0287143175871699,
1201_BNG_breastTumor,"Lasso(alpha=0.05, max_iter=100000)",4,0.0455085184225875,0.0302803313320922,
1201_BNG_breastTumor,RandomForestRegressor(n_estimators=200),4,0.8331787643121209,-0.050332606737818,
1201_BNG_breastTumor,GradientBoostingRegressor(n_estimators=200),4,0.8295833813234583,-0.2019315197132769,
1203_BNG_pwLinear,LinearRegression(),0,0.5572891040705884,0.5111876234896648,
1203_BNG_pwLinear,"Lasso(alpha=0.05, max_iter=100000)",0,0.5550369638855438,0.5063386152684843,
1203_BNG_pwLinear,RandomForestRegressor(n_estimators=200),0,0.9307185499526834,0.5444117543266337,
1203_BNG_pwLinear,GradientBoostingRegressor(n_estimators=200),0,0.8718789158581527,0.4932506847814567,
1203_BNG_pwLinear,LinearRegression(),1,0.4698690740848099,0.4982368391426768,
1203_BNG_pwLinear,"Lasso(alpha=0.05, max_iter=100000)",1,0.4678888015212087,0.4973177301315847,
1203_BNG_pwLinear,RandomForestRegressor(n_estimators=200),1,0.9210726460410906,0.534629494645052,
1203_BNG_pwLinear,GradientBoostingRegressor(n_estimators=200),1,0.8808611863268195,0.4649896180050276,
1203_BNG_pwLinear,LinearRegression(),2,0.5125188602677182,0.5124181428465122,
1203_BNG_pwLinear,"Lasso(alpha=0.05, max_iter=100000)",2,0.5111856192456212,0.5177774863469298,
1203_BNG_pwLinear,RandomForestRegressor(n_estimators=200),2,0.9430740533344985,0.49206637792989,
1203_BNG_pwLinear,GradientBoostingRegressor(n_estimators=200),2,0.8837536935374247,0.4506395078820567,
1203_BNG_pwLinear,LinearRegression(),3,0.5118977781383278,0.4666772993176548,
1203_BNG_pwLinear,"Lasso(alpha=0.05, max_iter=100000)",3,0.510298000618802,0.4751176290446394,
1203_BNG_pwLinear,RandomForestRegressor(n_estimators=200),3,0.9268291193931352,0.4759571310434258,
1203_BNG_pwLinear,GradientBoostingRegressor(n_estimators=200),3,0.8500215626546301,0.4294985055493062,
1203_BNG_pwLinear,LinearRegression(),4,0.5125292264899192,0.4892838026543263,
1203_BNG_pwLinear,"Lasso(alpha=0.05, max_iter=100000)",4,0.5111066290901145,0.4927007075098265,
1203_BNG_pwLinear,RandomForestRegressor(n_estimators=200),4,0.9295455906214494,0.4767436729996318,
1203_BNG_pwLinear,GradientBoostingRegressor(n_estimators=200),4,0.861557625577307,0.4368984249575466,
1595_poker,LinearRegression(),0,0.0771637774583986,-0.1119321003568214,
1595_poker,"Lasso(alpha=0.05, max_iter=100000)",0,0.062424192940731,-0.0395077776941852,
1595_poker,RandomForestRegressor(n_estimators=200),0,0.8547007004310345,-0.0611547011076736,
1595_poker,GradientBoostingRegressor(n_estimators=200),0,0.8584990422351615,-0.3118092313051608,
1595_poker,LinearRegression(),1,0.044847361740944,-0.0484902862204683,
1595_poker,"Lasso(alpha=0.05, max_iter=100000)",1,0.0313294407160119,-0.0144964266395379,
1595_poker,RandomForestRegressor(n_estimators=200),1,0.853651173857868,-0.0579361404561149,
1595_poker,GradientBoostingRegressor(n_estimators=200),1,0.9109563864005928,-0.2624553973681061,
1595_poker,LinearRegression(),2,0.0446764062512987,-0.0741004103446025,
1595_poker,"Lasso(alpha=0.05, max_iter=100000)",2,0.0353034541266723,-0.0430204556602837,
1595_poker,RandomForestRegressor(n_estimators=200),2,0.8502657171024256,-0.1207898597114851,
